Query_ID,Query_SMILES,Query_IC50,Query__source_file,Query_Label,Query_InChIKey,Query_MW,Query_Valid_SMILES,Query_Desalted_SMILES,Max_Tanimoto_Similarity,Mean_Similarity,Median_Similarity,Min_Similarity,Std_Similarity,BestMatch_Ref_ID,BestMatch_Ref_SMILES,BestMatch_Ref_IC50,BestMatch_Ref__source_file,BestMatch_Ref_Label,BestMatch_Ref_InChIKey,BestMatch_Ref_MW,BestMatch_Ref_Valid_SMILES,BestMatch_Ref_Desalted_SMILES
CHEMBL5080685,COC(=O)c1c(CCCCCCCCNc2c3c(nc4ccccc24)CCCC3)cccc1OC,0.0208,chembl.csv,1,OWFPUTJZUAQYFR-UHFFFAOYSA-N,474.645,COC(=O)c1c(CCCCCCCCNc2c3c(nc4ccccc24)CCCC3)cccc1OC,COC(=O)c1c(CCCCCCCCNc2c3c(nc4ccccc24)CCCC3)cccc1OC,0.5365853905677795,0.16215839982032776,0.14942528307437897,0.021052632480859756,0.069740891456604,CHEMBL199454,COc1ccc2[nH]cc(CCNC(=O)CCCCCNc3c4c(nc5ccccc35)CCCC4)c2c1,5e-09,chembl.csv,1,BGQKPFJETYONAB-UHFFFAOYSA-N,484.644,COc1ccc2[nH]cc(CCNC(=O)CCCCCNc3c4c(nc5ccccc35)CCCC4)c2c1,COc1ccc2[nH]cc(CCNC(=O)CCCCCNc3c4c(nc5ccccc35)CCCC4)c2c1
CHEMBL4516356,O=C(Nc1cc(COCc2cn(CCNc3c4c(nc5ccccc35)CCCC4)nn2)ccn1)Nc1cccc2c1C1CCCCN1C2=O,0.0208,chembl.csv,1,IDMGTGWKKYHBFA-UHFFFAOYSA-N,657.779,O=C(Nc1cc(COCc2cn(CCNc3c4c(nc5ccccc35)CCCC4)nn2)ccn1)Nc1cccc2c1C1CCCCN1C2=O,O=C(Nc1cc(COCc2cn(CCNc3c4c(nc5ccccc35)CCCC4)nn2)ccn1)Nc1cccc2c1C1CCCCN1C2=O,0.4047619104385376,0.1326843500137329,0.12800000607967377,0.01886792480945587,0.04779864102602005,CHEMBL4777926,CNC(=O)c1sc(-c2ccnc(NC(=O)C3CC3)c2)nc1OCCOCc1cn(-c2c3c(nc4ccccc24)CCCC3)nn1,1.0,chembl.csv,1,NQJDLURKQPSDCR-UHFFFAOYSA-N,624.727,CNC(=O)c1sc(-c2ccnc(NC(=O)C3CC3)c2)nc1OCCOCc1cn(-c2c3c(nc4ccccc24)CCCC3)nn1,CNC(=O)c1sc(-c2ccnc(NC(=O)C3CC3)c2)nc1OCCOCc1cn(-c2c3c(nc4ccccc24)CCCC3)nn1
CHEMBL191758,NCCCNc1c2c(nc3cc(Cl)ccc13)CCCC2,0.0215,chembl.csv,1,FPBUGSBZFOFWAX-UHFFFAOYSA-N,289.81,NCCCNc1c2c(nc3cc(Cl)ccc13)CCCC2,NCCCNc1c2c(nc3cc(Cl)ccc13)CCCC2,0.6600000262260437,0.11495299637317657,0.095238097012043,0.0,0.08011394739151001,CHEMBL4632951,C#CCNc1c2c(nc3cc(Cl)ccc13)CCCC2,0.0094,chembl.csv,1,YRJBUPQHBMBODA-UHFFFAOYSA-N,270.763,C#CCNc1c2c(nc3cc(Cl)ccc13)CCCC2,C#CCNc1c2c(nc3cc(Cl)ccc13)CCCC2
CHEMBL3400187,COc1cc2oc(-c3ccc(OCC(=O)NCCCCCCNc4c5c(nc6cc(Cl)ccc46)CCCC5)cc3)cc(=O)c2c(OC)c1OC,0.0216,chembl.csv,1,PGNONTQJYACCOC-UHFFFAOYSA-N,700.232,COc1cc2oc(-c3ccc(OCC(=O)NCCCCCCNc4c5c(nc6cc(Cl)ccc46)CCCC5)cc3)cc(=O)c2c(OC)c1OC,COc1cc2oc(-c3ccc(OCC(=O)NCCCCCCNc4c5c(nc6cc(Cl)ccc46)CCCC5)cc3)cc(=O)c2c(OC)c1OC,0.5204081535339355,0.1449194997549057,0.13333334028720856,0.02150537632405758,0.06587596237659454,CHEMBL4068935,CCN(CCCCCCNC(=O)COc1ccc(-c2cc(=O)c3c(OC)c(OC)c(OC)cc3o2)cc1)Cc1ccccc1OC,1.25,chembl.csv,0,AVWUGHMJDIEZKS-UHFFFAOYSA-N,632.754,CCN(CCCCCCNC(=O)COc1ccc(-c2cc(=O)c3c(OC)c(OC)c(OC)cc3o2)cc1)Cc1ccccc1OC,CCN(CCCCCCNC(=O)COc1ccc(-c2cc(=O)c3c(OC)c(OC)c(OC)cc3o2)cc1)Cc1ccccc1OC
CHEMBL271385,CC(C)(C)C(=O)NCCCCNc1c2c(nc3ccccc13)CCCC2,0.0216,chembl.csv,1,NDNHQHDGXMCKAU-UHFFFAOYSA-N,353.51,CC(C)(C)C(=O)NCCCCNc1c2c(nc3ccccc13)CCCC2,CC(C)(C)C(=O)NCCCCNc1c2c(nc3ccccc13)CCCC2,0.5909090638160706,0.15230496227741241,0.13750000298023224,0.02380952425301075,0.07320010662078857,CHEMBL1083983,O=C(CCc1c[nH]c2ccccc12)NCCCCCCNc1c2c(nc3ccccc13)CCCC2,2e-05,chembl.csv,1,NTISYWBCRKDSDB-UHFFFAOYSA-N,468.645,O=C(CCc1c[nH]c2ccccc12)NCCCCCCNc1c2c(nc3ccccc13)CCCC2,O=C(CCc1c[nH]c2ccccc12)NCCCCCCNc1c2c(nc3ccccc13)CCCC2
CHEMBL4800403,CNC(=O)c1sc(-c2ccnc(NC(=O)CNCCCCCCNc3c4c(nc5ccccc35)CCCC4)c2)nc1OCC1CC1,0.0219,chembl.csv,1,XJSGAZQHWZKYFW-UHFFFAOYSA-N,641.842,CNC(=O)c1sc(-c2ccnc(NC(=O)CNCCCCCCNc3c4c(nc5ccccc35)CCCC4)c2)nc1OCC1CC1,CNC(=O)c1sc(-c2ccnc(NC(=O)CNCCCCCCNc3c4c(nc5ccccc35)CCCC4)c2)nc1OCC1CC1,0.5714285969734192,0.14418920874595642,0.1355932205915451,0.031578946858644485,0.05617983639240265,CHEMBL4791286,CNC(=O)c1sc(-c2ccnc(NC(=O)C3CC3)c2)nc1OCCc1cn(-c2c3c(nc4ccccc24)CCCC3)nn1,1.0,chembl.csv,1,GYRWNPFZHGOCEC-UHFFFAOYSA-N,594.701,CNC(=O)c1sc(-c2ccnc(NC(=O)C3CC3)c2)nc1OCCc1cn(-c2c3c(nc4ccccc24)CCCC3)nn1,CNC(=O)c1sc(-c2ccnc(NC(=O)C3CC3)c2)nc1OCCc1cn(-c2c3c(nc4ccccc24)CCCC3)nn1
CHEMBL74827,c1ccc2c(NCCCCCCCCNc3c4c(nc5ccccc35)CCC4)c3c(nc2c1)CCC3,0.022,chembl.csv,1,KBQNIGWBLLTLRQ-UHFFFAOYSA-N,478.684,c1ccc2c(NCCCCCCCCNc3c4c(nc5ccccc35)CCC4)c3c(nc2c1)CCC3,c1ccc2c(NCCCCCCCCNc3c4c(nc5ccccc35)CCC4)c3c(nc2c1)CCC3,0.6363636255264282,0.13036473095417023,0.11267605423927307,0.0,0.081480011343956,CHEMBL4456928,c1ccc2c(NCc3ccc(-c4ccc(CNc5c6c(nc7ccccc57)CCCC6)cc4)cc3)c3c(nc2c1)CCCC3,0.00361,chembl.csv,1,WIXYVLRIZYZCIN-UHFFFAOYSA-N,574.772,c1ccc2c(NCc3ccc(-c4ccc(CNc5c6c(nc7ccccc57)CCCC6)cc4)cc3)c3c(nc2c1)CCCC3,c1ccc2c(NCc3ccc(-c4ccc(CNc5c6c(nc7ccccc57)CCCC6)cc4)cc3)c3c(nc2c1)CCCC3
CHEMBL3343927,O=C(NCCCCCCNc1c2c(nc3ccccc13)CCCC2)[C@@H]1Cc2c([nH]c3ccccc23)CN1,0.022,chembl.csv,1,LBOYVYBBAFDIGX-NDEPHWFRSA-N,495.671,O=C(NCCCCCCNc1c2c(nc3ccccc13)CCCC2)[C@@H]1Cc2c([nH]c3ccccc23)CN1,O=C(NCCCCCCNc1c2c(nc3ccccc13)CCCC2)[C@@H]1Cc2c([nH]c3ccccc23)CN1,0.5657894611358643,0.13327214121818542,0.11999999731779099,0.02469135820865631,0.06782685220241547,CHEMBL1083983,O=C(CCc1c[nH]c2ccccc12)NCCCCCCNc1c2c(nc3ccccc13)CCCC2,2e-05,chembl.csv,1,NTISYWBCRKDSDB-UHFFFAOYSA-N,468.645,O=C(CCc1c[nH]c2ccccc12)NCCCCCCNc1c2c(nc3ccccc13)CCCC2,O=C(CCc1c[nH]c2ccccc12)NCCCCCCNc1c2c(nc3ccccc13)CCCC2
CHEMBL4290039,COc1nc(-c2ccnc(NC(=O)C3CC3)c2)sc1C(=O)NCCCCCCNc1c2c(nc3ccccc13)CCCC2,0.022,chembl.csv,1,BHHVWPMBOQGGMM-UHFFFAOYSA-N,598.773,COc1nc(-c2ccnc(NC(=O)C3CC3)c2)sc1C(=O)NCCCCCCNc1c2c(nc3ccccc13)CCCC2,COc1nc(-c2ccnc(NC(=O)C3CC3)c2)sc1C(=O)NCCCCCCNc1c2c(nc3ccccc13)CCCC2,0.5899999737739563,0.15306870639324188,0.1428571492433548,0.033707864582538605,0.061168123036623,CHEMBL4791286,CNC(=O)c1sc(-c2ccnc(NC(=O)C3CC3)c2)nc1OCCc1cn(-c2c3c(nc4ccccc24)CCCC3)nn1,1.0,chembl.csv,1,GYRWNPFZHGOCEC-UHFFFAOYSA-N,594.701,CNC(=O)c1sc(-c2ccnc(NC(=O)C3CC3)c2)nc1OCCc1cn(-c2c3c(nc4ccccc24)CCCC3)nn1,CNC(=O)c1sc(-c2ccnc(NC(=O)C3CC3)c2)nc1OCCc1cn(-c2c3c(nc4ccccc24)CCCC3)nn1
CHEMBL4552675,COc1ccc2nc3c(c(NCCCCCCCCN(CC(=O)Nc4ccc5ccccc5c4)C(=O)/C=C/c4ccc(O)c(OC)c4)c2c1)CCCC3,0.0222,chembl.csv,1,CIMNCRAYKQYYMB-HKOYGPOVSA-N,714.907,COc1ccc2nc3c(c(NCCCCCCCCN(CC(=O)Nc4ccc5ccccc5c4)C(=O)/C=C/c4ccc(O)c(OC)c4)c2c1)CCCC3,COc1ccc2nc3c(c(NCCCCCCCCN(CC(=O)Nc4ccc5ccccc5c4)C(=O)/C=C/c4ccc(O)c(OC)c4)c2c1)CCCC3,0.7099999785423279,0.1527535319328308,0.14173229038715363,0.031578946858644485,0.06146260350942612,CHEMBL4784757,COc1ccc2nc3c(c(NCCCCCCCN(CC(=O)NCCc4c[nH]c5ccc(OC)cc45)C(=O)/C=C/c4ccc(O)c(OC)c4)c2c1)CCCC3,1.29,chembl.csv,0,BCHYGDBEGKZQHD-XSFVSMFZSA-N,747.937,COc1ccc2nc3c(c(NCCCCCCCN(CC(=O)NCCc4c[nH]c5ccc(OC)cc45)C(=O)/C=C/c4ccc(O)c(OC)c4)c2c1)CCCC3,COc1ccc2nc3c(c(NCCCCCCCN(CC(=O)NCCc4c[nH]c5ccc(OC)cc45)C(=O)/C=C/c4ccc(O)c(OC)c4)c2c1)CCCC3
CHEMBL273078,O=C(CO[N+](=O)[O-])NCCCCNc1c2c(nc3ccccc13)CCCC2,0.0226,chembl.csv,1,XABKLWBYRPEVGJ-UHFFFAOYSA-N,372.425,O=C(CO[N+](=O)[O-])NCCCCNc1c2c(nc3ccccc13)CCCC2,O=C(CO[N+](=O)[O-])NCCCCNc1c2c(nc3ccccc13)CCCC2,0.5857142806053162,0.14167480170726776,0.12701663374900818,0.010989011265337467,0.07065659761428833,CHEMBL1083983,O=C(CCc1c[nH]c2ccccc12)NCCCCCCNc1c2c(nc3ccccc13)CCCC2,2e-05,chembl.csv,1,NTISYWBCRKDSDB-UHFFFAOYSA-N,468.645,O=C(CCc1c[nH]c2ccccc12)NCCCCCCNc1c2c(nc3ccccc13)CCCC2,O=C(CCc1c[nH]c2ccccc12)NCCCCCCNc1c2c(nc3ccccc13)CCCC2
CHEMBL4285581,COc1ccc2nc3c(c(NCCNC(=O)c4sc(-c5ccnc(NC(=O)C6CC6)c5)nc4OC)c2c1)CCCC3,0.023,chembl.csv,1,MONBJAXTKVHFAY-UHFFFAOYSA-N,572.691,COc1ccc2nc3c(c(NCCNC(=O)c4sc(-c5ccnc(NC(=O)C6CC6)c5)nc4OC)c2c1)CCCC3,COc1ccc2nc3c(c(NCCNC(=O)c4sc(-c5ccnc(NC(=O)C6CC6)c5)nc4OC)c2c1)CCCC3,0.5512820482254028,0.14383268356323242,0.13592232763767242,0.022727273404598236,0.0570039264857769,CHEMBL3410089,COc1nc(-c2ccnc(NC(=O)C3CC3)c2)sc1C(N)=O,1.0,chembl.csv,1,CYADPSMQNARVII-UHFFFAOYSA-N,318.358,COc1nc(-c2ccnc(NC(=O)C3CC3)c2)sc1C(N)=O,COc1nc(-c2ccnc(NC(=O)C3CC3)c2)sc1C(N)=O
CHEMBL4756997,CNC(=O)c1sc(-c2ccnc(NC(=O)CNCCCCNc3c4c(nc5ccccc35)CCCC4)c2)nc1OCC1CC1,0.0231,chembl.csv,1,RTZCOIZFSLQMHI-UHFFFAOYSA-N,613.788,CNC(=O)c1sc(-c2ccnc(NC(=O)CNCCCCNc3c4c(nc5ccccc35)CCCC4)c2)nc1OCC1CC1,CNC(=O)c1sc(-c2ccnc(NC(=O)CNCCCCNc3c4c(nc5ccccc35)CCCC4)c2)nc1OCC1CC1,0.5769230723381042,0.14394357800483704,0.1356537640094757,0.031578946858644485,0.05579274520277977,CHEMBL4791286,CNC(=O)c1sc(-c2ccnc(NC(=O)C3CC3)c2)nc1OCCc1cn(-c2c3c(nc4ccccc24)CCCC3)nn1,1.0,chembl.csv,1,GYRWNPFZHGOCEC-UHFFFAOYSA-N,594.701,CNC(=O)c1sc(-c2ccnc(NC(=O)C3CC3)c2)nc1OCCc1cn(-c2c3c(nc4ccccc24)CCCC3)nn1,CNC(=O)c1sc(-c2ccnc(NC(=O)C3CC3)c2)nc1OCCc1cn(-c2c3c(nc4ccccc24)CCCC3)nn1
CHEMBL1203984,CC[N+](CC)(CC)CCOc1cc(OCC[N+](CC)(CC)CC)c(C(=O)NCCCCCC(=O)NNc2c3c(nc4ccccc24)CCCC3)cc1OCC[N+](CC)(CC)CC,0.0232,chembl.csv,1,WJFJEDDYGFJHOF-UHFFFAOYSA-P,863.266,CC[N+](CC)(CC)CCOc1cc(OCC[N+](CC)(CC)CC)c(C(=O)NCCCCCC(=O)NNc2c3c(nc4ccccc24)CCCC3)cc1OCC[N+](CC)(CC)CC,CC[N+](CC)(CC)CCOc1cc(OCC[N+](CC)(CC)CC)c(C(=O)NCCCCCC(=O)NNc2c3c(nc4ccccc24)CCCC3)cc1OCC[N+](CC)(CC)CC,0.5476190447807312,0.1468498259782791,0.13861386477947235,0.018518518656492233,0.05699893459677696,CHEMBL266045,COc1cc(C(=O)NCCC(=O)NNc2c3c(nc4ccccc24)CCCC3)cc(OC)c1OC,0.0892,chembl.csv,1,HHOZIIJUOGFCKO-UHFFFAOYSA-N,478.549,COc1cc(C(=O)NCCC(=O)NNc2c3c(nc4ccccc24)CCCC3)cc(OC)c1OC,COc1cc(C(=O)NCCC(=O)NNc2c3c(nc4ccccc24)CCCC3)cc(OC)c1OC
CHEMBL3410954,Cc1c(C)c2c(c(C)c1O)CCC(C)(C(=O)NCCCCCCNc1c3c(nc4ccccc14)CCCC3)O2,0.0235,chembl.csv,1,ATFSKIZVJOMGAR-UHFFFAOYSA-N,529.725,Cc1c(C)c2c(c(C)c1O)CCC(C)(C(=O)NCCCCCCNc1c3c(nc4ccccc14)CCCC3)O2,Cc1c(C)c2c(c(C)c1O)CCC(C)(C(=O)NCCCCCCNc1c3c(nc4ccccc14)CCCC3)O2,0.5,0.14036594331264496,0.12643678486347198,0.024390242993831635,0.061785273253917694,CHEMBL1083983,O=C(CCc1c[nH]c2ccccc12)NCCCCCCNc1c2c(nc3ccccc13)CCCC2,2e-05,chembl.csv,1,NTISYWBCRKDSDB-UHFFFAOYSA-N,468.645,O=C(CCc1c[nH]c2ccccc12)NCCCCCCNc1c2c(nc3ccccc13)CCCC2,O=C(CCc1c[nH]c2ccccc12)NCCCCCCNc1c2c(nc3ccccc13)CCCC2
